ID,Name,Concepticon_ID,Concepticon_Gloss,Spanish,Category,Gloss_in_source
Chacon-2017-129-120,"uña, garra",2128,CLAW OR NAIL,"fingernail, claw",cultural,"UÑA, GARRA_FINGERNAIL, CLAW"
Chacon-2017-129-121,venado,1936,DEER,deer,cultural,VENADO_DEER
Chacon-2017-129-122,venir,1446,COME,come,basic/cultural,VENIR_COME
Chacon-2017-129-123,ver,1409,SEE,see,basic/cultural,VER_SEE
Chacon-2017-129-124,viejo,406,OLD MAN,old man,cultural,VIEJO_OLD MAN
Chacon-2017-129-125,yo,1209,I,i,basic/cultural,YO_I
Chacon-2017-129-126,yuca,925,CASSAVA,manioc,cultural,YUCA_MANIOC
Chacon-2017-129-127,zancudo,1509,MOSQUITO,mosquito,cultural,ZANCUDO_MOSQUITO
Chacon-2017-129-128,árbol,906,TREE,tree,basic/cultural,ÁRBOL_TREE
Chacon-2017-129-129,ñame,410,YAM,yam,cultural,ÑAME_YAM
