ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan
WitotoNipode-105_sonajeromaraca-1,,WitotoNipode,105_sonajeromaraca,kaβáʤe,kaβáʤe,k a β a dʒ e,,Huber1992,,
Kamsa-53_lengua-1,,Kamsa,53_lengua,biʧtáxa,biʧtáxa,b i tʃ t a x a,,Huber1992,,
WitotoNipode-74_orejeraarete-1,,WitotoNipode,74_orejeraarete,kumáɗɯkɯ,kumáɗɯkɯ,k u m a ɗ ɯ k ɯ,,Huber1992,,
WitotoNipode-29_curandero-1,,WitotoNipode,29_curandero,manóriraɯma,manóriraɯma,m a n o r i r a ɯ m a,,Huber1992,,
Kamsa-67_nariz-1,,Kamsa,67_nariz,tsxáɕe,tsxáɕe,ts x a ɕ e,,Huber1992,,
Kamsa-72_ojo-1,,Kamsa,72_ojo,bɕni̵bé,bɕni̵bé,b ɕ n ɨ b e,,Huber1992,,
Kamsa-72_ojo-2,,Kamsa,72_ojo,bomínje,bomínje,b o m i n j e,,Huber1992,,
Kamsa-73_oreja-1,,Kamsa,73_oreja,matskuáɕe,matskuáɕe,m a ts k u a ɕ e,,Huber1992,,
Cabiyari-3_agua-1,,Cabiyari,3_agua,ʔuuni,ʔuuni,ʔ uː n i,,Huber1992,,
WitotoNipode-119_ustedes-1,,WitotoNipode,119_ustedes,ómaɯ,ómaɯ,o m a ɯ,,Huber1992,,
WitotoNipode-119_ustedes-2,,WitotoNipode,119_ustedes,ómaɯko,ómaɯko,o m a ɯ k o,,Huber1992,,
Kamsa-58_mano-1,,Kamsa,58_mano,kukuátɕe,kukuátɕe,k u k u a t ɕ e,,Huber1992,,
Kamsa-31_diente-1,,Kamsa,31_diente,xuatsáɕe,xuatsáɕe,x u a ts a ɕ e,,Huber1992,,
Kamsa-96_rodilla-1,,Kamsa,96_rodilla,ntsamiáɕe,ntsamiáɕe,n ts a m i a ɕ e,,Huber1992,,
Tucano-92_pulga-1,,Tucano,92_pulga,dĩ̵ʔkõẽ́wĩ̵,dĩ̵ʔkõẽ́wĩ̵,d ɨ̃ ʔ k õ ẽ w ɨ̃,,Huber1992,,
Kamsa-87_piel-1,,Kamsa,87_piel,bobáʧe,bobáʧe,b o b a tʃ e,,Huber1992,,
Kamsa-46_hueso-1,,Kamsa,46_hueso,betáɕe,betáɕe,b e t a ɕ e,,Huber1992,,
Kamsa-46_hueso-2,,Kamsa,46_hueso,betábxa,betábxa,b e t a b x a,,Huber1992,,
Kamsa-99_sangre-1,,Kamsa,99_sangre,buíɲe,buíɲe,b u i ɲ e,,Huber1992,,
Awa-99_sangre-1,,Awa,99_sangre,aimpi,aimpi,a i m p i,,Huber1992,,
WitotoNipode-125_yo-1,,WitotoNipode,125_yo,kúe,kúe,k u e,,Huber1992,,
Kamsa-38_gente-1,,Kamsa,38_gente,entɕánga,entɕánga,e n t ɕ a n g a,,Huber1992,,
Kamsa-60_maridoesposo-1,,Kamsa,60_maridoesposo,bojá,bojá,b o j a,,Huber1992,,
Kamsa-78_padre-1,,Kamsa,78_padre,taitá,taitá,t a i t a,,Huber1992,,
Kamsa-78_padre-2,,Kamsa,78_padre,bébta,bébta,b e b t a,,Huber1992,,
Kamsa-124_viejo-1,,Kamsa,124_viejo,bi̵tsananá,bi̵tsananá,b ɨ ts a n a n a,,Huber1992,,
Kamsa-124_viejo-2,,Kamsa,124_viejo,bi̵tsi̵jéma,bi̵tsi̵jéma,b ɨ ts ɨ j e m a,,Huber1992,,
Kamsa-124_viejo-3,,Kamsa,124_viejo,bobinjná,bobinjná,b o b i n j n a,,Huber1992,,
Kamsa-3_agua-1,,Kamsa,3_agua,bújeʃe,bújeʃe,b u j e ʃ e,,Huber1992,,
Kamsa-3_agua-2,,Kamsa,3_agua,béxaje,béxaje,b e x a j e,,Huber1992,,
Kamsa-97_rio-1,,Kamsa,97_rio,béxaje,béxaje,b e x a j e,,Huber1992,,
Kamsa-97_rio-2,,Kamsa,97_rio,bʃáxaje,bʃáxaje,b ʃ a x a j e,,Huber1992,,
Kamsa-50_lago-1,,Kamsa,50_lago,wabxaxónaje,wabxaxónaje,w a b x a x o n a j e,,Huber1992,,
Kamsa-79_pantano-1,,Kamsa,79_pantano,xati̵ʃáɲe,xati̵ʃáɲe,x a t ɨ ʃ a ɲ e,,Huber1992,,
WitotoNipode-101_sementerademaiz-1,,WitotoNipode,101_sementerademaiz,beʤáre,beʤáre,b e dʒ a r e,,Huber1992,,
Kamsa-18_catarataraudal-1,,Kamsa,18_catarataraudal,bʃawenaníɲe,bʃawenaníɲe,b ʃ a w e n a n i ɲ e,,Huber1992,,
Kamsa-14_candelafuego-1,,Kamsa,14_candelafuego,íɲe,íɲe,i ɲ e,,Huber1992,,
Kamsa-14_candelafuego-2,,Kamsa,14_candelafuego,níɲe,níɲe,n i ɲ e,,Huber1992,,
WitotoNipode-115_trocha-1,,WitotoNipode,115_trocha,ío,ío,i o,,Huber1992,,
WitotoNipode-115_trocha-2,,WitotoNipode,115_trocha,dɯ́rope,dɯ́rope,d ɯ r o p e,,Huber1992,,
Cabiyari-57_luna-1,,Cabiyari,57_luna,kheeri,kheeri,kʰ eː r i,,Huber1992,,
Kamsa-104_sol-1,,Kamsa,104_sol,ʃínje,ʃínje,ʃ i n j e,,Huber1992,,
Kamsa-57_luna-1,,Kamsa,57_luna,xuaʃkóna,xuaʃkóna,x u a ʃ k o n a,,Huber1992,,
Kamsa-34_estrella-1,,Kamsa,34_estrella,estrelʲatéma,estrelʲatéma,e s t r e lʲ a t e m a,,Huber1992,,
Kamsa-69_noche-1,,Kamsa,69_noche,ibéta,ibéta,i b e t a,,Huber1992,,
Bora-117_uno-1,,Bora,117_uno,tsʰane,tsʰane,tsʰ a n e,,Huber1992,,
Kamsa-111_tierra-1,,Kamsa,111_tierra,bʃántse,bʃántse,b ʃ a n ts e,,Huber1992,,
Kamsa-86_piedra-1,,Kamsa,86_piedra,ndi̵tɕbé,ndi̵tɕbé,n d ɨ t ɕ b e,,Huber1992,,
WitotoNipode-28_cuerno-1,,WitotoNipode,28_cuerno,tíkaɯ,tíkaɯ,t i k a ɯ,,Huber1992,,
WitotoNipode-89_pluma-1,,WitotoNipode,89_pluma,ipóro,ipóro,i p o r o,,Huber1992,,
WitotoNipode-120_unagarra-1,,WitotoNipode,120_unagarra,onóbeko,onóbeko,o n o b e k o,,Huber1992,,
Cabiyari-69_noche-1,,Cabiyari,69_noche,niapiŋaaphi,niapiŋaaphi,n i a p i ŋ aa pʰ i,,Huber1992,,
WitotoNipode-47_higado-1,,WitotoNipode,47_higado,banóhɯ,banóhɯ,b a n o h ɯ,,Huber1992,,
WitotoNipode-9_beber-1,,WitotoNipode,9_beber,hiróde,hiróde,h i r o d e,,Huber1992,,
Kamsa-41_hamaca-1,,Kamsa,41_hamaca,uxonjaní̵ʃa,uxonjaní̵ʃa,u x o n j a n ɨ ʃ a,,Huber1992,,
Tucano-43_hoja-1,,Tucano,43_hoja,pṹrĩ́,pṹrĩ́,p ũ r ĩ,,Huber1992,,
Kamsa-12_caminosenderotrocha-1,,Kamsa,12_caminosenderotrocha,benáʧe,benáʧe,b e n a tʃ e,,Huber1992,,
WitotoNipode-123_ver-1,,WitotoNipode,123_ver,kɯóde,kɯóde,k ɯ o d e,,Huber1992,,
WitotoNipode-76_oir-1,,WitotoNipode,76_oir,kakáde,kakáde,k a k a d e,,Huber1992,,
Kamsa-40_hacha-1,,Kamsa,40_hacha,tatɕnía,tatɕnía,t a t ɕ n i a,,Huber1992,,
Kamsa-27_cuchillo-1,,Kamsa,27_cuchillo,kuʧiljí̵bxa,kuʧiljí̵bxa,k u tʃ i l j ɨ b x a,,Huber1992,,
Kamsa-15_canoa-1,,Kamsa,15_canoa,kanoúɕe,kanoúɕe,k a n o u ɕ e,,Huber1992,,
Kamsa-95_remo-1,,Kamsa,95_remo,ʒembé,ʒembé,ʒ e m b e,,Huber1992,,
Kamsa-91_porramacana-1,,Kamsa,91_porramacana,ngarotbé,ngarotbé,n g a r o t b e,,Huber1992,,
Kamsa-51_lanza-1,,Kamsa,51_lanza,lantsí̵ʃa,lantsí̵ʃa,l a n ts ɨ ʃ a,,Huber1992,,
Kamsa-35_flecha-1,,Kamsa,35_flecha,pleʧi̵bxuá,pleʧi̵bxuá,p l e tʃ ɨ b x u a,,Huber1992,,
Kamsa-20_cerbatana-1,,Kamsa,20_cerbatana,xuesaní̵ɕa,xuesaní̵ɕa,x u e s a n ɨ ɕ a,,Huber1992,,
Kamsa-30_danta-1,,Kamsa,30_danta,bi̵tsijá,bi̵tsijá,b ɨ ts i j a,,Huber1992,,
Kamsa-112_tigre-1,,Kamsa,112_tigre,tígre,tígre,t i g r e,,Huber1992,,
Kamsa-112_tigre-2,,Kamsa,112_tigre,txáɲe meséto,txáɲe meséto,t x a ɲ e,,Huber1992,,
Kamsa-54_leonpuma-1,,Kamsa,54_leonpuma,león,león,l e o n,,Huber1992,,
Kamsa-8_armadilloquinquinchochupa-1,,Kamsa,8_armadilloquinquinchochupa,armadilʲobé,armadilʲobé,a r m a d i lʲ o b e,,Huber1992,,
WitotoNipode-64_montana-1,,WitotoNipode,64_montana,kaìpónedu,kaìpónedu,k a i p o n e d u,,Huber1992,,
WitotoNipode-64_montana-2,,WitotoNipode,64_montana,íperɯ,íperɯ,i p e r ɯ,,Huber1992,,
Kamsa-121_venado-1,,Kamsa,121_venado,móngoxo,móngoxo,m o n g o x o,,Huber1992,,
WitotoNipode-55_lleno-1,,WitotoNipode,55_lleno,orúide,orúide,o r u i d e,,Huber1992,,
